🤖 AI Tools & Assistants,CATEGORY,SUBCATEGORY
Conversational AI,,
ChatGPT (OpenAI) - The one everyone knows,🤖 AI Tools & Assistants,Conversational AI
Claude (Anthropic) - The thoughtful alternative,🤖 AI Tools & Assistants,Conversational AI
Gemini (Google) - The search giant's answer,🤖 AI Tools & Assistants,Conversational AI
Copilot (Microsoft) - Integrated with Office,🤖 AI Tools & Assistants,Conversational AI
Perplexity - AI search with citations,🤖 AI Tools & Assistants,Conversational AI
Character.AI - Roleplay and character chats,🤖 AI Tools & Assistants,Conversational AI
Poe (Quora) - Multiple AI models in one place,🤖 AI Tools & Assistants,Conversational AI
You.com - AI search engine,🤖 AI Tools & Assistants,Conversational AI
Bing Chat - Microsoft's search AI,🤖 AI Tools & Assistants,Conversational AI
Bard (Google) - Now merged into Gemini,🤖 AI Tools & Assistants,Conversational AI
,,
AI Writing & Content,,
Jasper - Marketing copy specialist,🤖 AI Tools & Assistants,AI Writing & Content
Copy.ai - Sales and marketing content,🤖 AI Tools & Assistants,AI Writing & Content
Writesonic - All-purpose AI writer,🤖 AI Tools & Assistants,AI Writing & Content
Grammarly - Writing assistant (now AI-powered),🤖 AI Tools & Assistants,AI Writing & Content
Notion AI - Built into Notion workspace,🤖 AI Tools & Assistants,AI Writing & Content
Quillbot - Paraphrasing and rewriting,🤖 AI Tools & Assistants,AI Writing & Content
Rytr - Budget-friendly AI writer,🤖 AI Tools & Assistants,AI Writing & Content
Wordtune - Sentence rewriting,🤖 AI Tools & Assistants,AI Writing & Content
Hemingway Editor - Writing clarity tool,🤖 AI Tools & Assistants,AI Writing & Content
ProWritingAid - Grammar and style checker,🤖 AI Tools & Assistants,AI Writing & Content
,,
AI Code & Development,,
GitHub Copilot - Code completion in IDEs,🤖 AI Tools & Assistants,AI Code & Development
Cursor - AI-powered code editor,🤖 AI Tools & Assistants,AI Code & Development
Replit - Online coding with AI,🤖 AI Tools & Assistants,AI Code & Development
Tabnine - AI code completion,🤖 AI Tools & Assistants,AI Code & Development
CodeWhisperer (Amazon) - AWS-focused coding AI,🤖 AI Tools & Assistants,AI Code & Development
Claude Code (Anthropic) - Terminal-based coding,🤖 AI Tools & Assistants,AI Code & Development
Windsurf - AI development environment,🤖 AI Tools & Assistants,AI Code & Development
Zed - Collaborative coding with AI,🤖 AI Tools & Assistants,AI Code & Development
Codeium - Free AI coding assistant,🤖 AI Tools & Assistants,AI Code & Development
Sourcegraph Cody - Enterprise code AI,🤖 AI Tools & Assistants,AI Code & Development
,,
AI Design & Creative,,
Midjourney - AI image generation,🤖 AI Tools & Assistants,AI Design & Creative
DALL-E (OpenAI) - Image creation,🤖 AI Tools & Assistants,AI Design & Creative
Stable Diffusion - Open-source image AI,🤖 AI Tools & Assistants,AI Design & Creative
Canva AI - Design with AI assistance,🤖 AI Tools & Assistants,AI Design & Creative
Adobe Firefly - Creative AI suite,🤖 AI Tools & Assistants,AI Design & Creative
Figma AI - Design assistance in Figma,🤖 AI Tools & Assistants,AI Design & Creative
Runway - AI video editing,🤖 AI Tools & Assistants,AI Design & Creative
Luma AI - 3D capture and generation,🤖 AI Tools & Assistants,AI Design & Creative
ElevenLabs - AI voice generation,🤖 AI Tools & Assistants,AI Design & Creative
Synthesia - AI video generation,🤖 AI Tools & Assistants,AI Design & Creative
,,
AI Productivity & Business,,
Notion AI - Workspace intelligence,🤖 AI Tools & Assistants,AI Productivity & Business
Zapier AI - Automation with intelligence,🤖 AI Tools & Assistants,AI Productivity & Business
Monday.com AI - Project management AI,🤖 AI Tools & Assistants,AI Productivity & Business
HubSpot AI - CRM with AI features,🤖 AI Tools & Assistants,AI Productivity & Business
Salesforce Einstein - Sales AI,🤖 AI Tools & Assistants,AI Productivity & Business
Calendly AI - Smart scheduling,🤖 AI Tools & Assistants,AI Productivity & Business
Otter.ai - Meeting transcription,🤖 AI Tools & Assistants,AI Productivity & Business
Fireflies.ai - Call recording and AI notes,🤖 AI Tools & Assistants,AI Productivity & Business
Krisp - AI noise cancellation,🤖 AI Tools & Assistants,AI Productivity & Business
Beautiful.ai - AI presentation maker,🤖 AI Tools & Assistants,AI Productivity & Business
,,
📋 Productivity & Task Management,,
Task & Project Management,,
Todoist - Natural language task management,📋 Productivity & Task Management,Task & Project Management
Things 3 (Mac/iOS) - Elegant task management,📋 Productivity & Task Management,Task & Project Management
Any.do - Simple task lists,📋 Productivity & Task Management,Task & Project Management
TickTick - Feature-rich task manager,📋 Productivity & Task Management,Task & Project Management
Remember The Milk - Old-school task management,📋 Productivity & Task Management,Task & Project Management
OmniFocus (Mac/iOS) - GTD methodology,📋 Productivity & Task Management,Task & Project Management
2Do - Flexible task management,📋 Productivity & Task Management,Task & Project Management
Microsoft To Do - Simple Microsoft integration,📋 Productivity & Task Management,Task & Project Management
Google Tasks - Basic Google integration,📋 Productivity & Task Management,Task & Project Management
Apple Reminders - Built-in iOS/Mac tasks,📋 Productivity & Task Management,Task & Project Management
,,
Project Management Platforms,,
Asana - Team project management,📋 Productivity & Task Management,Project Management Platforms
Trello - Kanban-style boards,📋 Productivity & Task Management,Project Management Platforms
Monday.com - Visual project management,📋 Productivity & Task Management,Project Management Platforms
ClickUp - All-in-one workspace,📋 Productivity & Task Management,Project Management Platforms
"Notion - Notes, docs, and project management",📋 Productivity & Task Management,Project Management Platforms
Airtable - Database-meets-spreadsheet,📋 Productivity & Task Management,Project Management Platforms
Basecamp - Simple project collaboration,📋 Productivity & Task Management,Project Management Platforms
Wrike - Enterprise project management,📋 Productivity & Task Management,Project Management Platforms
Smartsheet - Spreadsheet-based PM,📋 Productivity & Task Management,Project Management Platforms
Linear - Developer-focused project management,📋 Productivity & Task Management,Project Management Platforms
,,
Advanced Project Management,,
Jira - Software development tracking,📋 Productivity & Task Management,Advanced Project Management
Azure DevOps - Microsoft development suite,📋 Productivity & Task Management,Advanced Project Management
GitHub Projects - Code-integrated planning,📋 Productivity & Task Management,Advanced Project Management
GitLab - DevOps platform,📋 Productivity & Task Management,Advanced Project Management
Clubhouse (now Shortcut) - Software team management,📋 Productivity & Task Management,Advanced Project Management
Height - Visual project management,📋 Productivity & Task Management,Advanced Project Management
Plane - Open-source project management,📋 Productivity & Task Management,Advanced Project Management
Teamwork - Business project management,📋 Productivity & Task Management,Advanced Project Management
Workfront (Adobe) - Enterprise work management,📋 Productivity & Task Management,Advanced Project Management
Clarizen - Project portfolio management,📋 Productivity & Task Management,Advanced Project Management
,,
💬 Communication & Collaboration,,
Team Communication,,
Slack - The workplace chat king,💬 Communication & Collaboration,Team Communication
Microsoft Teams - Office 365 integration,💬 Communication & Collaboration,Team Communication
Discord - Gaming-turned-business chat,💬 Communication & Collaboration,Team Communication
Zoom - Video conferencing standard,💬 Communication & Collaboration,Team Communication
Google Meet - Simple video calls,💬 Communication & Collaboration,Team Communication
Webex - Enterprise video conferencing,💬 Communication & Collaboration,Team Communication
GoToMeeting - Business video platform,💬 Communication & Collaboration,Team Communication
Telegram - Secure messaging,💬 Communication & Collaboration,Team Communication
WhatsApp Business - Business messaging,💬 Communication & Collaboration,Team Communication
,,
Async Communication,,
Loom - Screen recording messages,💬 Communication & Collaboration,Async Communication
BombBomb - Video email platform,💬 Communication & Collaboration,Async Communication
Vidyard - Video messaging for sales,💬 Communication & Collaboration,Async Communication
Soapbox - Wistia's video messages,💬 Communication & Collaboration,Async Communication
Yac - Voice messages for teams,💬 Communication & Collaboration,Async Communication
Vimeo Record - Screen and webcam recording,💬 Communication & Collaboration,Async Communication
ScreenPal - Screen recording tool,💬 Communication & Collaboration,Async Communication
Snagit - Screenshots and recordings,💬 Communication & Collaboration,Async Communication
CloudApp - Visual communication,💬 Communication & Collaboration,Async Communication
Monosnap - Screenshot annotation,💬 Communication & Collaboration,Async Communication
,,
Document Collaboration,💬 Communication & Collaboration,Document Collaboration
"Google Workspace - Docs, Sheets, Slides",💬 Communication & Collaboration,Document Collaboration
"Microsoft 365 - Word, Excel, PowerPoint online",💬 Communication & Collaboration,Document Collaboration
Dropbox Paper - Collaborative writing,💬 Communication & Collaboration,Document Collaboration
Notion - All-in-one workspace,💬 Communication & Collaboration,Document Collaboration
Coda - Documents that act like databases,💬 Communication & Collaboration,Document Collaboration
Craft - Block-based writing,💬 Communication & Collaboration,Document Collaboration
Obsidian - Linked note-taking,💬 Communication & Collaboration,Document Collaboration
Roam Research - Networked thought,💬 Communication & Collaboration,Document Collaboration
LogSeq - Open-source knowledge management,💬 Communication & Collaboration,Document Collaboration
RemNote - Note-taking with spaced repetition,💬 Communication & Collaboration,Document Collaboration
,,
🎯 CRM & Sales Tools,,
Customer Relationship Management,,
Salesforce - The enterprise giant,🎯 CRM & Sales Tools,Customer Relationship Management
HubSpot - Inbound marketing CRM,🎯 CRM & Sales Tools,Customer Relationship Management
Pipedrive - Visual sales pipeline,🎯 CRM & Sales Tools,Customer Relationship Management
Zoho CRM - Affordable business suite,🎯 CRM & Sales Tools,Customer Relationship Management
Freshsales - Freshworks CRM solution,🎯 CRM & Sales Tools,Customer Relationship Management
Monday.com CRM - Project management meets CRM,🎯 CRM & Sales Tools,Customer Relationship Management
Airtable - Database-style CRM,🎯 CRM & Sales Tools,Customer Relationship Management
Notion - DIY CRM solution,🎯 CRM & Sales Tools,Customer Relationship Management
Copper - Google Workspace CRM,🎯 CRM & Sales Tools,Customer Relationship Management
ActiveCampaign - Email marketing + CRM,🎯 CRM & Sales Tools,Customer Relationship Management
,,
Sales & Outreach Tools,,
Outreach - Sales engagement platform,🎯 CRM & Sales Tools,Sales & Outreach Tools
